,Dataset,Rounds,no-clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,10,5,0.9837765957446807,0.5635364532470704,0.9779383841531988,0.980422673544737,0.9754733994589719,0.9960462556582625,0.02452660054102796
1,Malgenome,10,5,0.9955263157894738,0.5679264485836029,0.9934600477869313,0.9896551049196484,0.9972972972972972,0.9998512627255142,0.0027027027027027024
2,Kronodroid,10,5,0.9624392116713592,0.5182495653629303,0.964379808514049,0.9687605679170984,0.9600603864734298,0.9895048637902063,0.03993961352657005
3,Tuandromd,10,5,0.9899216125419932,0.3900380641222,0.993802470671654,0.9958620117307436,0.991758241758242,0.9993185980685981,0.008241758241758244
