global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.6313164893617021,0.6508846879005432,0.0,1.0,0.0,0.8454494819778432,1.0
0.6313164893617021,0.5970965623855591,0.0,1.0,0.0,0.9058310315666115,1.0
0.6396276595744681,0.507991373538971,0.04409171075837743,1.0,0.02254283137962128,0.9528298079146588,0.9774571686203787
0.894281914893617,0.4051526188850403,0.8333333333333333,0.9949937421777222,0.7168620378719567,0.9758284816981649,0.28313796212804326
0.9431515957446809,0.306283175945282,0.9184549356223175,0.9746963562753036,0.8683498647430117,0.9838418112897918,0.13165013525698827
0.9504654255319149,0.2176462709903717,0.9306008383791338,0.9624277456647399,0.9008115419296664,0.9870616731030664,0.09918845807033363
0.9524601063829787,0.16081222891807556,0.933826931975937,0.9591254752851711,0.9098286744815148,0.9896965371646886,0.09017132551848513
0.9601063829787234,0.13043786585330963,0.9451052150045745,0.9591457753017641,0.9314697926059513,0.9914049965075825,0.06853020739404869
0.9621010638297872,0.11360412836074829,0.947992700729927,0.9593721144967683,0.9368800721370604,0.9924695784549885,0.06311992786293959
0.9657579787234043,0.10303506255149841,0.9531178880291307,0.9623161764705882,0.9440937781785392,0.9931324492839713,0.05590622182146077
0.9680851063829787,0.09595229476690292,0.9563239308462238,0.9651056014692379,0.9477006311992786,0.9936694886160482,0.05229936880072137
0.96875,0.09087682515382767,0.9572727272727274,0.9651695692025665,0.9495040577096483,0.9941300793783069,0.05049594229035167
0.96875,0.08687150478363037,0.9571948998178506,0.9668813247470102,0.9477006311992786,0.9945127970632354,0.05229936880072137
0.9714095744680851,0.08381661027669907,0.96094459582198,0.9679780420860018,0.9540126239855726,0.9948413834627023,0.045987376014427414
0.9714095744680851,0.08140356838703156,0.961050724637681,0.9654231119199272,0.9567177637511272,0.9949567685711858,0.04328223624887286
0.973404255319149,0.07920224219560623,0.9636032757051866,0.9724517906336089,0.9549143372407575,0.9950208714092319,0.04508566275924256
0.9737367021276596,0.07738208025693893,0.9641723356009071,0.9698905109489051,0.9585211902614968,0.9951723440413563,0.04147880973850315
0.9757313829787234,0.07623934000730515,0.9669832654907281,0.97005444646098,0.9639314697926059,0.9953361624052525,0.03606853020739405
0.9763962765957447,0.074714794754982,0.9678004535147392,0.9735401459854015,0.9621280432822362,0.9954088122883715,0.03787195671776375
0.9767287234042553,0.07371442019939423,0.9682107175295187,0.9752973467520586,0.9612263300270514,0.9955014052766606,0.0387736699729486
0.9773936170212766,0.07272734493017197,0.969118982742961,0.9762122598353157,0.9621280432822362,0.9955892499065762,0.03787195671776375
0.9780585106382979,0.07216405123472214,0.9701627486437614,0.9728014505893019,0.9675383228133454,0.9956585759388334,0.032461677186654644
0.9790558510638298,0.07163619250059128,0.9715318572074108,0.9737318840579711,0.9693417493237151,0.9957454708970741,0.030658250676284943
0.9790558510638298,0.07187081128358841,0.9715575620767495,0.972875226039783,0.9702434625788999,0.9957948538241616,0.029756537421100092
0.9800531914893617,0.07064340263605118,0.972875226039783,0.9755213055303718,0.9702434625788999,0.9958309413478025,0.029756537421100092
0.9800531914893617,0.0704784095287323,0.9729486023444545,0.9729486023444545,0.9729486023444545,0.9958679785431183,0.027051397655545536
0.9813829787234043,0.06984202563762665,0.9746835443037976,0.9773345421577516,0.9720468890892696,0.9958883964841255,0.027953110910730387
0.9817154255319149,0.06977711617946625,0.9751693002257337,0.976491862567812,0.9738503155996393,0.9959263833511158,0.026149684400360685
0.9817154255319149,0.06978564709424973,0.9751693002257337,0.976491862567812,0.9738503155996393,0.995971492755667,0.026149684400360685
0.980718085106383,0.06942308694124222,0.9737793851717903,0.9764279238440616,0.9711451758340848,0.9959964216371294,0.028854824165915238
0.9810505319148937,0.06904306262731552,0.9742198100407056,0.9773139745916516,0.9711451758340848,0.9959990332342351,0.028854824165915238
0.9803856382978723,0.06917306035757065,0.973339358337099,0.9755434782608695,0.9711451758340848,0.9959596218597325,0.028854824165915238
0.980718085106383,0.06898877769708633,0.9737793851717903,0.9764279238440616,0.9711451758340848,0.9959805146365772,0.028854824165915238
0.9810505319148937,0.0689084455370903,0.9741730856366108,0.9790528233151184,0.9693417493237151,0.9960417684595994,0.030658250676284943
0.9810505319148937,0.06898422539234161,0.9742198100407056,0.9773139745916516,0.9711451758340848,0.9960109041301697,0.028854824165915238
0.9823803191489362,0.0696113184094429,0.9761153672825597,0.9756756756756757,0.9765554553651938,0.99601446539895,0.023444544634806132
0.9817154255319149,0.0693119466304779,0.9751693002257337,0.976491862567812,0.9738503155996393,0.9960194511752425,0.026149684400360685
0.9823803191489362,0.06920676678419113,0.9760289461781999,0.9791288566243194,0.9729486023444545,0.9960650354156309,0.027051397655545536
0.9813829787234043,0.06911002099514008,0.9746376811594203,0.9790718835304822,0.9702434625788999,0.9960403439520871,0.029756537421100092
0.9827127659574468,0.06972496211528778,0.9765342960288809,0.9774164408310749,0.975653742110009,0.9960949500733858,0.024346257889990983
0.9837101063829787,0.06998339295387268,0.9779179810725552,0.9774774774774775,0.9783588818755635,0.9960859281924757,0.02164111812443643
0.9820478723404256,0.06945628672838211,0.9755434782608696,0.9799818016378526,0.9711451758340848,0.9961186918652549,0.028854824165915238
0.9833776595744681,0.06961008161306381,0.977416440831075,0.9791855203619909,0.975653742110009,0.9961566787322452,0.024346257889990983
0.9837101063829787,0.07012800872325897,0.9778980604420388,0.9783393501805054,0.9774571686203787,0.9961666502848302,0.02254283137962128
0.9837101063829787,0.06992626190185547,0.9778581111613194,0.980072463768116,0.975653742110009,0.9962027378084712,0.024346257889990983
