global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.8229459943690811,0.6656910181045532,0.83662986361221,0.8184128450964537,0.8556763285024155,0.8803606883729248,0.14432367149758454
0.837663168671615,0.6101382970809937,0.8533610773943704,0.8183128256290877,0.8915458937198067,0.9037923083345825,0.10845410628019324
0.8665856155618121,0.5095478892326355,0.8723287000183699,0.8847348155508632,0.8602657004830918,0.926720562498192,0.13973429951690822
0.8868057332992065,0.37538716197013855,0.8885809661774895,0.9285244175332368,0.8519323671497585,0.9497042394131369,0.14806763285024155
0.9095853596109547,0.26883381605148315,0.9118912514809502,0.942632461002965,0.8830917874396135,0.9636790894495594,0.11690821256038647
0.9242385461991298,0.21852976083755493,0.9270576638738295,0.9461770623742455,0.908695652173913,0.9713595043115351,0.09130434782608696
0.9319810596365498,0.19471630454063416,0.9349648210461915,0.9474271543707378,0.9228260869565217,0.9754853764144964,0.07717391304347826
0.9355003839262862,0.18103627860546112,0.9383335372568213,0.9507810562856435,0.9262077294685991,0.9778346058212956,0.07379227053140097
0.9369721013565395,0.17298756539821625,0.9398252794917222,0.9509210038323649,0.9289855072463769,0.9792325099471675,0.07101449275362319
0.9386997696442283,0.16691838204860687,0.9414783139890043,0.9525339925834363,0.9306763285024154,0.9803627675479081,0.06932367149758455
0.940043511645764,0.16233298182487488,0.9427016449581117,0.9547875634832157,0.9309178743961353,0.9812691892236608,0.06908212560386473
0.9424110570770412,0.15898151695728302,0.9451152579582875,0.9545454545454546,0.9358695652173913,0.981913371872855,0.0641304347826087
0.9431789096493474,0.156032994389534,0.94580078125,0.956071076011846,0.9357487922705314,0.9824690539868879,0.0642512077294686
0.9438827745072946,0.153917133808136,0.9464623649349856,0.9569188989013702,0.936231884057971,0.9829160272998141,0.06376811594202898
0.9452905042231892,0.1513916254043579,0.9478053842866735,0.9582767559560548,0.93756038647343,0.9833851647824247,0.06243961352657005
0.9458024059380599,0.14932183921337128,0.9483442093065805,0.9578662067266231,0.9390096618357487,0.983774011594729,0.06099033816425121
0.9468262093678014,0.1474819779396057,0.9493076313060451,0.9590780229261678,0.9397342995169082,0.9842015655776721,0.06026570048309179
0.9481699513693371,0.14499357342720032,0.9504587155963302,0.9628252788104089,0.9384057971014492,0.9846804825789791,0.06159420289855073
0.9479140005119017,0.14393380284309387,0.9504021447721179,0.9590506640432858,0.9419082125603865,0.9849058470673934,0.058091787439613525
0.9485538776554902,0.14180171489715576,0.9509636496706514,0.96057171020207,0.9415458937198068,0.9852187998837635,0.058454106280193235
0.9489378039416432,0.14080867171287537,0.9512879990233183,0.9617378425080227,0.9410628019323671,0.9854120481040555,0.05893719806763285
0.9500895828001024,0.1390976756811142,0.952363503114694,0.963306152705708,0.9416666666666667,0.9857298167170272,0.058333333333333334
0.9505374968006143,0.13776499032974243,0.952874474181552,0.9620829742705896,0.9438405797101449,0.9859585095290315,0.05615942028985507
0.9516252879447146,0.13693635165691376,0.9540145985401459,0.9610294117647059,0.9471014492753623,0.9861117521215802,0.05289855072463768
0.9533529562324033,0.13494138419628143,0.9555297993045813,0.9653642302477505,0.9458937198067633,0.9864067566448131,0.05410628019323672
0.9532889685180446,0.13412706553936005,0.955558261293072,0.9634176282838203,0.9478260869565217,0.9865245792998982,0.05217391304347826
0.9537368825185565,0.13266868889331818,0.9559763745966023,0.9640181751197348,0.9480676328502415,0.9868215479449532,0.051932367149758456
0.9550806245200921,0.13131368160247803,0.9572159921989273,0.9661663385826772,0.9484299516908212,0.9870412255199745,0.051570048309178745
0.9554645508062451,0.13026636838912964,0.9574103536898787,0.9703547506822129,0.9448067632850241,0.9872281293802382,0.05519323671497584
0.9558484770923983,0.129682257771492,0.9579268292682926,0.9673645320197044,0.9486714975845411,0.987293586410841,0.051328502415458936
0.9565523419503456,0.12779496610164642,0.9586000853606488,0.9679842383942864,0.9493961352657004,0.9875993155323082,0.050603864734299515
0.9568722805221398,0.12864801287651062,0.9588924127836057,0.9685805815672746,0.9493961352657004,0.9874355127031839,0.050603864734299515
0.9578320962375224,0.12564541399478912,0.9597262115748946,0.9714215019176049,0.9483091787439614,0.9879075182967397,0.051690821256038647
0.9584719733811108,0.12511679530143738,0.9603470397751572,0.9718066031903054,0.9491545893719807,0.9879956818905009,0.050845410628019325
0.9585359610954697,0.1234610453248024,0.96044921875,0.9708785784797631,0.9502415458937198,0.9882832819210063,0.049758454106280194
0.9585359610954697,0.12933754920959473,0.9604685212298681,0.9704142011834319,0.9507246376811594,0.9882949433806959,0.04927536231884058
0.9589198873816227,0.12152713537216187,0.9608345534407028,0.970784023668639,0.9510869565217391,0.9886021024485943,0.04891304347826087
0.9593038136677758,0.1323278844356537,0.9612100512320078,0.9709216362740266,0.9516908212560387,0.9885921174778244,0.04830917874396135
0.9602636293831585,0.11918049305677414,0.9620531622364802,0.9736549165120594,0.9507246376811594,0.9889124008241751,0.04927536231884058
0.9601996416687996,0.1307826191186905,0.962100901779186,0.9708558780127889,0.9535024154589372,0.9887662093467873,0.0464975845410628
0.9606475556693115,0.12862272560596466,0.9624839870676508,0.9723899913718723,0.9527777777777777,0.9891464271720064,0.04722222222222222
0.9605195802405938,0.12872014939785004,0.9623619837735619,0.9722667324047825,0.9526570048309179,0.9891215428168696,0.04734299516908213
0.9609674942411057,0.12162492424249649,0.9628275441803779,0.971709717097171,0.9541062801932367,0.9894254064335097,0.04589371980676329
0.9609035065267468,0.13517940044403076,0.9627370860523267,0.9724035973881976,0.9532608695652174,0.9890090536976115,0.04673913043478261
