global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0.5298182748912209,0.680564820766449,0.6926551781830349,0.5298182748912209,1.0,0.8816535982711784,0.0
0.6837727156385974,0.6514672040939331,0.7678286197500704,0.6283253882823312,0.9869565217391304,0.9063137394512687,0.013043478260869565
0.8540440235474789,0.5762278437614441,0.8670668453872604,0.8378195742763824,0.8984299516908213,0.9217576622118083,0.10157004830917875
0.8798950601484515,0.45506221055984497,0.8845704446221021,0.9011402079939858,0.8685990338164251,0.9433298340736183,0.13140096618357489
0.9026106987458408,0.31441444158554077,0.904576802507837,0.9405475880052151,0.871256038647343,0.9619168612708708,0.128743961352657
0.9248144356283594,0.23139847815036774,0.9274288184794022,0.9490582732903552,0.9067632850241546,0.9706500947380603,0.09323671497584542
0.9313411824929614,0.19860631227493286,0.9342403628117915,0.9483638173447804,0.9205314009661836,0.9751259092486962,0.07946859903381642
0.9349884822114154,0.18292731046676636,0.9378973105134474,0.9495049504950495,0.9265700483091788,0.9776067265995019,0.07342995169082125
0.9377399539288457,0.17920193076133728,0.9404565204087876,0.9532316089815159,0.9280193236714975,0.979065165124297,0.07198067632850241
0.9394676222165345,0.17297706007957458,0.942331138746647,0.9513786312161496,0.9334541062801932,0.9802838986059501,0.06654589371980676
0.9402994625031994,0.16868682205677032,0.9431617423088638,0.9515673017824217,0.9349033816425121,0.9811152316578963,0.06509661835748792
0.9427949833631942,0.16527171432971954,0.9453277886497065,0.9575074331020813,0.9334541062801932,0.9817977434459144,0.06654589371980676
0.943306885078065,0.1621142476797104,0.9459624298609418,0.9555199605717102,0.9365942028985508,0.982558573564334,0.06340579710144928
0.944522651650883,0.15965767204761505,0.947072828276662,0.9575361066534995,0.9368357487922705,0.983089067254161,0.06316425120772946
0.9451625287944715,0.1575336903333664,0.9476577291882978,0.9586062028913876,0.9369565217391305,0.9834132870622391,0.06304347826086956
0.9454824673662656,0.1559799462556839,0.9479535736102628,0.9590852904820767,0.9370772946859903,0.9837183012104906,0.06292270531400966
0.9463782953672895,0.15377989411354065,0.948752446183953,0.96097621407334,0.9368357487922705,0.9841035320663021,0.06316425120772946
0.9473381110826721,0.15194182097911835,0.9496358851967444,0.9625356655501799,0.9370772946859903,0.9843818538811705,0.06292270531400966
0.9472741233683133,0.15055112540721893,0.9496763161109075,0.9605880899431678,0.9390096618357487,0.98464032080766,0.06099033816425121
0.9478500127975429,0.14912568032741547,0.9501559537642958,0.9624581836203693,0.9381642512077295,0.9848106898850522,0.06183574879227053
0.9484898899411313,0.14786674082279205,0.9508156656687237,0.9621614937554099,0.9397342995169082,0.9850559914426746,0.06026570048309179
0.949449705656514,0.14623098075389862,0.9516049987748101,0.9655643958229736,0.9380434782608695,0.9853108999392519,0.06195652173913044
0.9500895828001024,0.14492987096309662,0.9522409992652462,0.9657228017883756,0.9391304347826087,0.9855289503338515,0.06086956521739131
0.9502815459431789,0.14364707469940186,0.9523867884061524,0.9666625202139569,0.9385265700483092,0.9857402619004416,0.06147342995169082
0.951049398515485,0.1422087401151657,0.953047320935371,0.968925496068888,0.9376811594202898,0.9859961483488886,0.06231884057971015
0.9517532633734322,0.14106963574886322,0.9538612164973688,0.9667576283800545,0.941304347826087,0.9862255643521916,0.058695652173913045
0.9522651650883031,0.14064721763134003,0.9542499693364406,0.9693496137552953,0.9396135265700483,0.9863198339815757,0.06038647342995169
0.9523931405170207,0.13856561481952667,0.954467564259486,0.9674937965260546,0.9417874396135266,0.9866730800585917,0.05821256038647343
0.9530330176606092,0.13762101531028748,0.9550850569085791,0.9679980153807988,0.942512077294686,0.9868539765002275,0.05748792270531401
0.9532889685180446,0.13650120794773102,0.9552696078431372,0.9695273631840796,0.9414251207729468,0.9870387025685126,0.058574879227053143
0.9538008702329153,0.13510844111442566,0.9558355762172743,0.9683936539414972,0.9435990338164251,0.9872944410914665,0.05640096618357488
0.9559124648067571,0.1341760754585266,0.9579185243999268,0.9689855430619053,0.9471014492753623,0.9874416598292217,0.05289855072463768
0.9559124648067571,0.13309544324874878,0.9578670580321653,0.9701474049300136,0.9458937198067633,0.9875770609637116,0.05410628019323672
0.9568082928077809,0.13175050914287567,0.9587483957709466,0.9704317703822838,0.9473429951690822,0.9877767028525294,0.052657004830917876
0.9561044279498336,0.1312137395143509,0.958037680450208,0.9706246901338622,0.9457729468599034,0.9879135503696165,0.05422705314009662
0.9569362682364986,0.12998950481414795,0.9589358716212093,0.9690467381921322,0.9490338164251207,0.9880673764460537,0.050966183574879226
0.9569362682364986,0.12906603515148163,0.9589208325703472,0.9693940515858324,0.9486714975845411,0.9882409505757916,0.051328502415458936
0.9572562068082928,0.12803487479686737,0.9592583556965113,0.9689502217841302,0.9497584541062802,0.988405032819736,0.050241545893719805
0.9577681085231635,0.127070814371109,0.9597413687934611,0.9695587872812423,0.9501207729468599,0.9886030639642982,0.049879227053140095
0.9579600716662401,0.1271052062511444,0.9599023497101007,0.9702652683528686,0.9497584541062802,0.9885555880991639,0.050241545893719805
0.9577681085231635,0.1278868317604065,0.9596724917511915,0.9711847637892654,0.9484299516908212,0.98852869853179,0.051570048309178745
0.9588558996672639,0.12444505095481873,0.9607136310869432,0.9721775689378014,0.9495169082125604,0.9890188167801419,0.050483091787439614
0.9589838750959816,0.1258353292942047,0.9608597423215486,0.9717179202173645,0.9502415458937198,0.988823842762433,0.049758454106280194
0.9598797030970053,0.123322993516922,0.9617473003477518,0.9717667365306374,0.9519323671497585,0.9891942728508728,0.04806763285024154
